GEO_ID|B01003_E001|B01003_M001
1400000US36005000100|3538|1209
1400000US36005000200|5177|721
1400000US36005000400|6481|1051
1400000US36005001600|6011|715
1400000US36005001901|2401|345
1400000US36005001902|1979|366
1400000US36005001903|0|13
1400000US36005001904|0|13
1400000US36005002001|4300|783
1400000US36005002002|3689|1034
1400000US36005002300|4527|612
1400000US36005002400|0|13
1400000US36005002500|5460|761
1400000US36005002701|2830|409
1400000US36005002702|5156|692
1400000US36005002800|5420|732
1400000US36005003100|2641|453
1400000US36005003300|3407|568
1400000US36005003500|3529|857
1400000US36005003700|285|165
1400000US36005003800|1215|157
1400000US36005003900|6346|1097
1400000US36005004001|1378|320
1400000US36005004100|6272|1026
1400000US36005004200|7976|952
1400000US36005004300|5041|748
1400000US36005004400|4323|561
1400000US36005004600|1784|365
1400000US36005004800|4139|562
1400000US36005005001|4597|654
1400000US36005005002|6338|1143
1400000US36005005100|6795|1033
1400000US36005005200|1787|259
1400000US36005005300|4596|1028
1400000US36005005400|5306|834
1400000US36005005600|2531|418
1400000US36005005902|3044|447
1400000US36005006000|1220|351
1400000US36005006100|3835|709
1400000US36005006200|6206|954
1400000US36005006301|6244|876
1400000US36005006302|0|13
1400000US36005006400|3847|650
1400000US36005006500|5182|968
1400000US36005006700|5892|1739
1400000US36005006800|2621|611
1400000US36005006900|6524|1037
1400000US36005007000|4201|591
1400000US36005007100|2562|414
1400000US36005007200|5371|832
1400000US36005007300|4555|576
1400000US36005007400|3281|551
1400000US36005007500|6543|692
1400000US36005007600|5317|919
1400000US36005007700|1996|476
1400000US36005007800|5858|751
1400000US36005007900|6987|1018
1400000US36005008300|6588|1216
1400000US36005008400|2716|586
1400000US36005008500|5665|611
1400000US36005008600|4117|961
1400000US36005008700|6299|832
1400000US36005008900|2993|456
1400000US36005009000|3593|590
1400000US36005009200|5675|696
1400000US36005009301|5615|949
1400000US36005009302|405|430
1400000US36005009600|2352|381
1400000US36005009800|4647|583
1400000US36005011000|0|13
1400000US36005011502|3850|796
1400000US36005011701|1318|209
1400000US36005011702|0|13
1400000US36005011800|5538|600
1400000US36005011900|5889|1018
1400000US36005012101|3413|419
1400000US36005012102|1495|307
1400000US36005012300|4092|926
1400000US36005012500|4146|675
1400000US36005012701|2385|496
1400000US36005012901|5261|1143
1400000US36005013000|1329|407
1400000US36005013100|5210|731
1400000US36005013200|7126|906
1400000US36005013300|5838|934
1400000US36005013500|3295|699
1400000US36005013800|2957|410
1400000US36005014100|6864|794
1400000US36005014300|1685|246
1400000US36005014400|6465|812
1400000US36005014500|6560|1496
1400000US36005014701|5151|1164
1400000US36005014702|4985|945
1400000US36005014900|4755|1016
1400000US36005015100|5414|993
1400000US36005015200|2601|421
1400000US36005015300|3502|616
1400000US36005015500|3154|613
1400000US36005015700|5959|893
1400000US36005015800|1625|255
1400000US36005015900|2153|477
1400000US36005016000|4063|467
1400000US36005016100|4789|657
1400000US36005016200|1802|358
1400000US36005016300|0|13
1400000US36005016400|1107|253
1400000US36005016500|1233|309
1400000US36005016600|2387|368
1400000US36005016700|3203|426
1400000US36005016900|1759|214
1400000US36005017100|0|13
1400000US36005017300|5257|1086
1400000US36005017500|6444|873
1400000US36005017701|4566|678
1400000US36005017702|5236|1002
1400000US36005017901|4993|887
1400000US36005017902|3571|868
