GEO_ID|B05009_E001|B05009_M001|B05009_E002|B05009_M002|B05009_E003|B05009_M003|B05009_E004|B05009_M004|B05009_E005|B05009_M005|B05009_E006|B05009_M006|B05009_E007|B05009_M007|B05009_E008|B05009_M008|B05009_E009|B05009_M009|B05009_E010|B05009_M010|B05009_E011|B05009_M011|B05009_E012|B05009_M012|B05009_E013|B05009_M013|B05009_E014|B05009_M014|B05009_E015|B05009_M015|B05009_E016|B05009_M016|B05009_E017|B05009_M017|B05009_E018|B05009_M018|B05009_E019|B05009_M019|B05009_E020|B05009_M020|B05009_E021|B05009_M021|B05009_E022|B05009_M022|B05009_E023|B05009_M023|B05009_E024|B05009_M024|B05009_E025|B05009_M025|B05009_E026|B05009_M026|B05009_E027|B05009_M027|B05009_E028|B05009_M028|B05009_E029|B05009_M029|B05009_E030|B05009_M030|B05009_E031|B05009_M031|B05009_E032|B05009_M032|B05009_E033|B05009_M033|B05009_E034|B05009_M034|B05009_E035|B05009_M035|B05009_E036|B05009_M036|B05009_E037|B05009_M037
1400000US36005000100|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36005000200|814|205|290|162|90|95|90|95|0|19|90|95|0|19|0|19|0|19|0|19|0|19|0|19|200|139|169|125|31|46|35|60|165|131|134|113|31|46|524|192|388|182|344|171|44|49|95|82|228|158|184|138|44|49|65|77|65|77|0|19|136|153|136|153|0|19|50|92|86|102|86|102|0|19
1400000US36005000400|1420|440|256|297|235|285|235|285|0|19|0|19|0|19|0|19|0|19|235|285|235|285|0|19|21|54|21|54|0|19|21|54|0|19|0|19|0|19|1164|279|416|307|416|307|0|19|316|302|60|83|60|83|0|19|40|56|40|56|0|19|748|295|748|295|0|19|688|289|60|66|60|66|0|19
1400000US36005001600|1052|232|246|138|51|55|51|55|0|19|0|19|51|55|51|55|0|19|0|19|0|19|0|19|195|134|195|134|0|19|103|87|92|124|92|124|0|19|806|214|359|195|359|195|0|19|0|19|274|143|274|143|0|19|85|131|85|131|0|19|447|197|416|194|31|45|324|176|123|128|92|125|31|45
1400000US36005001901|509|155|204|136|100|92|100|92|0|13|0|13|100|92|100|92|0|13|0|13|0|13|0|13|104|123|104|123|0|13|104|123|0|13|0|13|0|13|305|131|70|72|70|72|0|13|0|13|70|72|70|72|0|13|0|13|0|13|0|13|235|115|227|114|8|12|160|86|75|86|67|86|8|12
1400000US36005001902|187|104|123|53|76|40|76|40|0|13|0|13|14|32|14|32|0|13|62|63|62|63|0|13|47|44|23|26|24|37|9|13|38|43|14|23|24|37|64|90|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|64|90|64|90|0|13|55|90|9|14|9|14|0|13
1400000US36005001903|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36005001904|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36005002001|1181|351|259|170|34|41|34|41|0|13|0|13|0|13|0|13|0|13|34|41|34|41|0|13|225|163|225|163|0|13|200|169|25|47|25|47|0|13|922|277|92|92|82|91|10|18|0|13|10|18|0|13|10|18|82|91|82|91|0|13|830|267|830|267|0|13|524|228|306|271|306|271|0|13
1400000US36005002002|327|272|221|223|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|221|223|221|223|0|13|198|216|23|41|23|41|0|13|106|167|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|106|167|106|167|0|13|106|167|0|13|0|13|0|13
1400000US36005002300|1057|364|250|154|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|250|154|250|154|0|13|176|96|74|123|74|123|0|13|807|275|119|137|119|137|0|13|76|126|32|54|32|54|0|13|11|23|11|23|0|13|688|257|679|256|9|19|411|182|277|214|268|215|9|19
